Ativo;Link Original;Link Recente;Status
ATBR11;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/ATBR/ATBR_1_Escritura%20-%20Aditamento_20230131_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/ATBR/ATBR_1_Escritura%20-%20Escritura_20221214_000.pdf;2 encontrada(s)
BTCL11;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/BTCL/BTCL11_Escritura%20-%20Aditamento_20230113_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/BTCL/BTCL_1_Escritura%20-%20Escritura_20221228_000.pdf;5 encontrada(s)
HGLB12;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/HGLB/HGLB12_Escritura%20-%20Aditamento_20220426_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/HGLB/HGLB_2_Escritura%20-%20Escritura_20220214_000.pdf;2 encontrada(s)
QMCT12;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/QMCT/QMCT_2_Escritura%20-%20Escritura_20220207_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/QMCT/QMCT_2_Escritura%20-%20Escritura_20220207_000.pdf;1 encontrada(s)
HGLB11;;;Nenhuma escritura
PNXT13;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_3_Escritura%20-%20Escritura_20200519_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_3_Escritura%20-%20Escritura_20200519_000.pdf;1 encontrada(s)
QMCT11;;;Nenhuma escritura
PNXT12;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_2_Escritura%20-%20Escritura_20190725_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_2_Escritura%20-%20Escritura_20190725_000.pdf;1 encontrada(s)
PNXT22;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_2_Escritura%20-%20Escritura_20190725_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_2_Escritura%20-%20Escritura_20190725_000.pdf;1 encontrada(s)
PNXT11;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1-Escritura_2018-10-15_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1_Escritura%20-%20Escritura_20181015_000.pdf;3 encontrada(s)
PNXT21;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1_Escritura%20-%20Aditamento_20190221_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1_Escritura%20-%20Escritura_20181015_000.pdf;2 encontrada(s)
PNXT31;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1_Escritura%20-%20Aditamento_20190221_000.pdf;https://s3.amazonaws.com/s3-doc-inst-fin-prd-use1-public/DEBENTURES/PNXT/PNXT_1_Escritura%20-%20Escritura_20181015_000.pdf;2 encontrada(s)
TOWE12;;;Nenhuma escritura
BRTS11;;;Nenhuma escritura
TOWE11;;;Nenhuma escritura
